DEPTH,R4,COND,SP,GR,AC
1700,2.323,445.109,22.953,89.697,315.834
1700.125,2.402,445.1,22.953,87.848,334.279
1700.25,2.443,438.72,22.953,86.129,335.028
1700.375,2.443,438.055,22.953,84.499,325.803
1700.5,2.443,431.073,22.953,82.017,339.973
1700.625,2.443,420.124,22.953,80,348.801
1700.75,2.428,411.414,22.953,83.311,358.177
1700.875,2.366,402.324,22.953,81.881,348.146
1701,2.363,392.714,22.953,86.005,318.319
1701.125,2.366,365.898,22.953,88.041,297.162
1701.25,2.58,351.945,22.954,89.462,284.946
1701.375,2.845,343.24,22.906,86.442,276.181
1701.5,3.232,332.89,22.853,85.291,283.071
1701.625,3.46,322.1,22.853,79.799,285.573
1701.75,3.813,313.171,22.853,77.14,266.689
1701.875,4.153,295.149,22.853,73.797,256.086
1702,4.483,274.164,22.853,71.097,237.736
1702.125,4.865,252.085,22.853,69.082,225.708
1702.25,5.296,236.562,22.835,66.915,221.01
1702.375,5.737,229.458,22.756,64.526,251.826
1702.5,6.033,229.224,22.752,66.049,263.835
1702.625,6.201,243.38,22.752,65.797,279.071
1702.75,5.769,263.022,22.752,65.11,312.686
1702.875,5.129,293.155,22.753,67.622,330.82
1703,3.947,323.958,22.753,71.559,336.164
1703.125,3.219,356.379,22.753,74.704,339.167
1703.25,2.806,383.652,22.753,78.347,340.618
1703.375,2.601,419.01,22.753,82.288,346.851
1703.5,2.427,444.605,22.753,85.465,353.533
1703.625,2.23,464.536,22.753,85.704,362.872
1703.75,2.134,471.274,22.823,84.478,367.543
1703.875,2.061,479.141,22.855,83.825,374.993
1704,2.003,485.043,22.921,85.134,376.417
1704.125,1.962,488.734,22.956,86.039,368.846
1704.25,1.963,492.069,23.057,86.24,361.574
1704.375,1.922,492.06,23.058,85.382,354.715
1704.5,1.922,492.051,23.151,84.831,348.036
1704.625,2.012,492.041,23.159,87.5,339.797
1704.75,2.177,492.032,23.192,85.783,333.02
1704.875,2.244,487.722,23.26,88.22,327.629
1705,2.285,483.816,23.266,85.992,323.525
1705.125,2.244,478.02,23.345,83.971,339.598
1705.25,2.229,478.011,23.362,81.294,353.708
1705.375,2.166,478.002,23.426,78.792,361.45
1705.5,2.164,477.994,23.463,81.414,369.685
1705.625,2.164,477.985,23.463,80.755,376.382
1705.75,2.164,477.976,23.464,79.779,372.876
1705.875,2.164,477.967,23.565,79.195,346.973
1706,2.223,473.682,23.565,83.33,305.673
1706.125,2.564,471.108,23.565,82.198,289.697
1706.25,3.124,464.356,23.565,81.533,278.516
1706.375,3.593,464.347,23.565,79.94,280.229
1706.5,3.893,464.339,23.565,78.664,325.966
1706.625,4.054,464.33,23.565,77.227,350.922
1706.75,3.871,464.322,23.566,76.188,367.107
1706.875,3.565,457.667,23.566,75.249,349.43
1707,3.219,457.658,23.566,74.225,326.212
1707.125,3.05,453.467,23.566,82.001,309.426
1707.25,3.05,451.091,23.566,90.07,305.12
1707.375,3.05,444.626,23.566,90.272,328.615
1707.5,3.05,444.618,23.566,85.834,365.322
1707.625,3.05,444.61,23.566,83.244,377.619
1707.75,3.007,444.602,23.566,82.725,366.285
1707.875,2.866,444.594,23.567,84.226,355.379
1708,2.757,444.585,23.567,86.106,341.294
1708.125,2.688,440.787,23.567,88.306,326.547
1708.25,2.769,438.206,23.567,85.215,331.982
1708.375,2.801,431.926,23.567,82.723,341.981
1708.5,2.809,430.273,23.567,83.469,331.823
1708.625,2.809,425.728,23.567,82.408,323.032
1708.75,2.809,419.627,23.567,80.604,313.663
1708.875,2.809,419.619,23.567,79.372,311.66
1709,2.809,419.612,23.568,80.283,322.417
1709.125,2.809,432.48,23.568,86.643,343.115
1709.25,2.713,439.48,23.568,83.91,359.388
1709.375,2.548,450.95,23.568,81.803,370.342
1709.5,2.383,457.49,23.568,82.11,374.367
1709.625,2.258,459.309,23.588,86.06,359.542
1709.75,2.167,464.115,23.669,89.897,349.537
1709.875,2.167,464.107,23.669,91.369,338.497
1710,2.29,470.837,23.67,88.427,320.026
1710.125,2.504,464.008,23.67,86.354,306.951
1710.25,2.835,453.729,23.67,84.902,294.101
1710.375,3.069,444.43,23.67,82.258,312.178
1710.5,3.194,435.811,23.67,80.902,338.045
1710.625,3.252,431.784,23.67,79.74,346.833
1710.75,3.197,431.776,23.67,78.741,353.013
1710.875,3.056,431.768,23.67,79.089,357.172
1711,2.932,443.177,23.702,83.018,362.351
1711.125,2.808,450.595,23.772,85.001,366.753
1711.25,2.725,464.013,23.772,86.334,372.586
1711.375,2.637,465.036,23.772,85.9,376.702
1711.5,2.561,470.733,23.772,84.648,381.437
1711.625,2.489,477.559,23.772,83.662,379.998
1711.75,2.449,484.484,23.772,86.636,364.375
1711.875,2.52,491.509,23.772,88.856,342.494
1712,2.567,498.637,23.772,87.314,320.921
1712.125,2.57,498.628,23.773,86.653,319.858
1712.25,2.61,498.618,23.773,86.787,342.807
1712.375,2.606,498.609,23.773,85.335,362.6
1712.5,2.517,498.6,23.773,84.466,390.755
1712.625,2.374,505.83,23.773,83.629,397.323
1712.75,2.227,505.82,23.773,82.894,386.845
1712.875,2.135,505.811,23.79,82.377,376.48
1713,2.091,511.801,23.874,82.013,365.276
1713.125,2.088,513.136,23.875,81.527,357.167
1713.25,2.088,513.126,23.875,81.054,359.169
1713.375,2.169,513.116,23.875,80.64,353.26
1713.5,2.209,513.107,23.875,80.201,343.672
1713.625,2.249,513.097,23.875,83.473,331.51
1713.75,2.249,513.088,23.875,82.024,320.936
1713.875,2.289,505.735,23.875,80.848,304.359
1714,2.424,487.439,23.875,79.758,305.701
1714.125,2.715,468.283,23.83,78.792,312.069
1714.25,2.754,457.169,23.774,79.109,319.295
1714.375,2.671,444.827,23.774,78.483,324.328
1714.5,2.611,437.804,23.815,77.987,327.823
1714.625,2.611,437.401,23.876,77.939,315.853
1714.75,2.626,430.038,23.876,78.742,307.274
1714.875,2.932,417.117,23.876,79.595,300.133
1715,3.182,407.331,23.918,80.223,296.1
1715.125,3.445,401.494,23.977,80.805,302.723
